N_txt,type,text
43,real,Carol needed to go to a doctors appointment in Louisville. It is a four and a half hour drive. She asked me to go with her and I did. I drove and we got there the day before the appointment because she did not want to get up and leave the morning of the appointment because we would have had to leave very early to get there on time. The appointment was for 11 am . We went and ate dinner after we got to the hotel and i then went swimming in the hotel pool which was very relaxing and fun.
43,img,I went out of town with Jennifer to Louisville to go to a doctor's appointment with her. She had made the appointment months ago and told me about it and asked me to go with her. I told her I would go and we went the day before and got a hotel room because the appointment was around eleven am and we did not want to get up really early and drive the long distance to the appointment. So we went the day before and after settling in we got something to eat at a nearby restaurant and then went swimming in the hotel pool
44,real,Patti could not figure out how to use the thermal label printer for printing FedEx labels so she called me to help her figure it out. I tried to troubleshoot it over the phone and we couldn't get the machine to work at all. I went down to her office and noticed that the printer was not even plugged in because there is a green status light that's always on when the printer has power. I showed her the power cable and plugged it in. We laughed about it and I went back to my desk.
44,img,"Mike stayed at my home in Buffalo over the weekend in preparation for his mother's funeral. He forgot to pack a tie in his travel bag so he asked to borrow one of mine. He found the tie to be acceptable, so he wore it to the funeral but forgot to give it back to me afterwards. I didn't mention it under the circumstances and Mike eventually went back to his home in Detroit. Two weeks later I received in the mail a package containing three nice, new ties along with the one Mike borrowed."
45,real,"It was my son's second birthday and I was bummed that my husband was working out at sea. I called Keri and she agreed to do something with us and her two year old son, Gavin, to celebrate. We met at a local apple orchard and picked apples. Then we did the corn maze at the orchard. Before leaving, we bought some apple donuts to enjoy. After the apple orchard we went to a small event in town and had some lunch. We wrapped up the day at a school playground so the boys could run off some energy. It was a great day."
45,img,"Elizabeth was super excited about an event that was going to be happening at Holy Family Church. They were going to be holding a fundraiser for a local charity. Elizabeth wanted to do a bake sale for the church so she made some of her famous cookies, brownies and pies. I offered to tag along and help her out. Since this was going to be taking place in the basement of the church, she said that we should bring our camp chairs. We had a great time sitting together and talking while raising money for charity."
46,real,Dana wanted to talk to me about some troubles with her marriage. I told her to meet me at a bar near my house. We love to go there. We met there and seated in a two seat table. We started drinking and she told me all about her troubles. I felt bad for her and tried to help her as much as I could. We got really drunk and Dana broke a whisky glass. We decided we had enough drinks for that day. I called an Uber and we both headed home.
46,img,"I went to the coffee shop after lifting a dumbbells at the gym. There I found Marina I remember how happy she looked. She just got a promotion and was thinking about starting her own coffee shop business. She told me she needed my advice and so I told her that I thought it was a great idea. I would help Marina reach her full potential, she is one of my best friends and so I was really happy to share my thoughts to her that day. We ended up toasting for the new opportunity."
47,real,"My friend invited me to have lunch with him in one of the luxurious restaurants. It is famous for seafood dishes, which is my favorite food, so I accepted the invitation directly and without any hesitation. So, we ate our food, it was very tasty, especially since we were eating it while listening to soft music. I decided that this restaurant would be my favorite restaurant, I go to it whenever I like to have a meal of seafood. I love the way he treated me in the restaurant. We went in the bike."
47,img,"I remember when I got a cricket bat for my birthday, I was really happy and excited to play with it. I gathered all my friends and started playing cricket. It started as a simple game but now it has become a passion for me. It has not only made me physically fit but also mentally, whenever I would feel sad, I would play cricket which would relieve me from my stress. I started playing cricket frequently and became good at it, I started playing matches and also reached the state finals. It was a really great experience for me because many of my qualities were revealed like leadership skills."
48,real,"Bill was in charge of issuing checks. I spent the morning hunting him down so I could get his approval on an item. When I did get the check I put it in what I thought was a safe place in the car. I went through a drive-thru and without thinking, placed a large soda on the seat next to me. I was about to move the cup when the person behind me honked their horn, causing Ice and soda to spill all over the seat. The check was ruined. I had to get a new check. What should have taken an hour turned into an all-day adventure."
48,img,"Well, what could I say? Jeff was the parish director and I was just a volunteer on a committee. When we both reached for the same doughnut at the same time, I had to relinquish my claim. There was just too much he could do to make my life miserable if he wanted to. First, he could have kicked me off the committee. Then he could see to it that I never worked on another. It's true, I could always quit but I had a lot of friends there and I wasn't about to give that up for a stale, day-old doughnut. I let him have it."
49,real,"My daughter and I went to Cazzy's house for his birthday. There were quite a few people there, some I knew, others I didn't, and some that I haven't seen in a long time. It was a little awkward at first but once everyone started to drink a little it seemed that people got loosened up and started chit chatting. Caz seemed to be having a great time even though it seemed that every 15 minutes or so someone was trying to make him take shots with them. My daughter had a blast playing with his daughter."
49,img,"My friend Bear decided to have his birthday party at a bar, we usually have get together's around each other's birthdays, but they're normally little house parties and are a little cheaper. I tried to help out and asked if there was anything I could do to help prepare, they asked me to pick up the cake. Little did I know that the cake was huge...he must have wanted it to feed the bar if it happened to me packed. Carrying it into the bar it slipped out of my hands and smashed on the ground, I was so embarrassed."
50,real,"I went to the park with Colleen and we just hung up for a while, talking about our lives and what had transpired since we last met. She asked if I had ever seen the new Galaxy smart watches and I said no, so she then showed me the one on her wrist. She took it off and let me try it on, and I tried out all the features of it. It was really cool and it made me want to buy one myself. I asked her how much she paid for it and she told me."
50,img,"Alex wanted to play a game of baseball with me at his home. I went over there and we practiced for a while. He really loves baseball, and even though I don't, it was still fun to spend time with Alex. We had a good day and probably spent a good 2 hours playing outside in his yard. He is quite the fan and performed way better than I did. Mostly he pitched, and sometimes I missed, but it was still great practice. He has a big back yard so we had plenty of room to play."
